Banner Name,Site Code,Site Name,Status,Activity Date,Does the store have a glass cabinet?,Where you able to find the flyer? ,Provide notes and what was discussed with the store staff if the flyer was not found.,Where you able to locate the shipper?,Provide comments if the shipper was not located. Refer to the help for what is required here.,Have you found any off locations in this store today?,Have you located the Racing Section in this store?,Comments
JB Hi Fi,OMS8766,ADELAIDE DOMESTIC AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB026,ADELAIDE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB154,AIRPORT WEST JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB118,ALBURY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB196,ALTONA JB HIFI,Completed, 14/03/2025,No,Yes,Flyer is still displayed,Yes,,Yes,Yes,No issues were encountered in this store
JB Hi Fi,JB170,ARMADALE JB HI-FI,Completed,0k                                                      ,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB131,ARTARMON JB HI-FI,Completed, 18/03/2025,No,No,Discussed staff are focusing on stocktake,Yes,N/A,Yes,Yes,Store is in the middle of stocktake they do not want anything moved or touched.
JB Hi Fi,JB229,AUSTRALIA FAIR JB HI-FI,Completed, 14/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB073,BALLARAT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB160,BANKSTOWN JB HI-FI,Completed, 14/03/2025,No,No,"I spoke to Heather, and she's going to print the flyer and put it on display.",Yes,,Yes,Yes,
JB Hi Fi,JB227,BATHURST JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB039,BELCONNEN JB HI-FI,Completed, 14/03/2025,No,No,,Yes,,No,Yes,
JB Hi Fi,JB206,BELMONT HOME JB HIFI,Completed, 12/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB132,BELROSE JB HI-FI,Completed, 11/03/2025,No,Yes,Not up in Xbox section.,Yes,,Yes,Yes,
JB Hi Fi,JB134,BENDIGO JB HI-FI,Completed, 13/03/2025,No,No,,No,,Yes,Yes,Mx keys advanced wireless illuminated keyboard display missing keys / needs replacement
JB Hi Fi,JB175,BERRIMAH JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB082,BLACKTOWN JB HI-FI,Completed, 10/03/2025,No,Yes,,No,"The store is undergoing a refit from 17/3/25 for 5 weeks, therefore stock has begun to be cleared. ",Yes,Yes,Sam requested an up to date ultimate eats display as the ones the store currently have are obsolete. Also with the store refit it would be beneficial to have an updated display. 
JB Hi Fi,JB033,BONDI JUNCTION JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB148,BOORAGOON JB HI-FI,Completed, 14/03/2025,No,No,Said they changed them yesterday had new flyers come in ,No,,Yes,Yes,Store preparing for stock take. Ultimate ears display speakers not working
JB Hi Fi,JB004,BRIGHTON  JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB129,BRISBANE CENTRAL JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB014,BRISBANE CITY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB133,BRISBANE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB063,BROADMEADOWS JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB178,BROADWAY JB HI-FI,Not Completed,,,,,,,,,
